filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
028386b860b75e4f5472.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",65,[65],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
028386b860b75e4f5472.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,65,[65],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
02b1a5a8899b67df2623.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20,[20],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
02ff378b3a91de94306a84d3aa2228bb.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'P@ssw0rd',24,[24],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
02ff378b3a91de94306a84d3aa2228bb.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'abcdefg',33,"[33, 34, 35, 36]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
0306734dfe17076dfd34e09660c198c0.py,blacklist,B406,LOW,HIGH,"Using xml.sax to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.sax with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",43,[43],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b406-import-xml-sax
0306734dfe17076dfd34e09660c198c0.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",123,[123],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
0306734dfe17076dfd34e09660c198c0.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",143,[143],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
0306734dfe17076dfd34e09660c198c0.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",156,[156],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
0306734dfe17076dfd34e09660c198c0.py,blacklist,B317,MEDIUM,HIGH,Using xml.sax.make_parser to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.sax.make_parser with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,209,[209],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b313-b320-xml-bad-sax
0306734dfe17076dfd34e09660c198c0.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",216,[216],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
032cae7d161912d2a2ce.py,blacklist,B405,LOW,HIGH,"Using tostring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace tostring with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",10,"[10, 11]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree
033ca5ca8088b3b01d3ca0cb81bfb88b.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,106,[106],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
035a1ead72a767add4b87afe03d0dd7b.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,1,[1],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
035a1ead72a767add4b87afe03d0dd7b.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,13,[13],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
035a1ead72a767add4b87afe03d0dd7b.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,30,[30],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
035a1ead72a767add4b87afe03d0dd7b.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,50,[50],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
036523669f428105ca81.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",12,[12],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
036523669f428105ca81.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",15,[15],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
036523669f428105ca81.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",16,[16],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
036523669f428105ca81.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,16,[16],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
036523669f428105ca81.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",19,[19],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
036523669f428105ca81.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,19,[19],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
036523669f428105ca81.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",46,[46],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
036523669f428105ca81.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,46,[46],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
036523669f428105ca81.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",47,[47],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
036523669f428105ca81.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,47,[47],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
037e97b95d94df7867ee328ea8009857.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",37,[37],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
044682e76def583a12e6c09209c664a1.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,4,"[4, 5]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
044682e76def583a12e6c09209c664a1.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",255,[255],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
045c887b6ccdf0edf4648da0c40bcc12.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,68,[68],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
04c2b5ce5978c0d66e6e.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,57,[57],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
04c2b5ce5978c0d66e6e.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",97,[97],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
04ef258fa29e4e685287a30cf60462d0.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",113,[113],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
04ef258fa29e4e685287a30cf60462d0.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",155,[155],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
04ef258fa29e4e685287a30cf60462d0.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",198,[198],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
04f3047ca8770f4a3a58.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,1,[1],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
04f3047ca8770f4a3a58.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,12,[12],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
04f3047ca8770f4a3a58.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,12,[12],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
053b89bd6975f89f043871335dce8c5b.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,31,[31],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
053db410f7fdd4e1d6034a0a7fd45d9b.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module AES are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,8,"[8, 9, 10]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
05fb0cefed8b6ba580cc.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",93,[93],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
05fb0cefed8b6ba580cc.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",160,[160],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
05fb0cefed8b6ba580cc.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",167,[167],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
05fb0cefed8b6ba580cc.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",190,[190],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
06769d701c1d9c9acb9a66f2f9d7a6c7.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,47,[47],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
06b38554103aa7120337.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,28,"[28, 29]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
06b38554103aa7120337.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,60,[60],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
071932322204bcad6063.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,70,[70],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
072712792c46aa192797.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,14,[14],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
072712792c46aa192797.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",41,[41],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
072712792c46aa192797.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",67,[67],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
072712792c46aa192797.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",68,[68],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
074587354d97d872aff6abb65510f618.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'Private Key',13,"[13, 14, 15]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
074a27e90a3686506fc586249934a30e.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',53,"[53, 54, 55]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
0755eb222de1f595e4e3a07a62db8702.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,19,[19],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
075c35b536cc08b832e353f2f43c0bdc.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,9,[9],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
075c35b536cc08b832e353f2f43c0bdc.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,51,[51],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
075c35b536cc08b832e353f2f43c0bdc.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,75,[75],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
075c35b536cc08b832e353f2f43c0bdc.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,89,[89],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
075c35b536cc08b832e353f2f43c0bdc.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,119,[119],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
075c35b536cc08b832e353f2f43c0bdc.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",150,"[149, 150]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
076bbc6a0d5056d20ad45095b434b02d.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,22,[22],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
076bbc6a0d5056d20ad45095b434b02d.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",53,[53],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
076bbc6a0d5056d20ad45095b434b02d.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,55,[55],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
076bbc6a0d5056d20ad45095b434b02d.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,55,[55],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
07799f035b7952e6a1e2f6a384f25011.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,42,[42],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
079b36898d39eeb1824977c6c2f6d51e.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,66,"[66, 67]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
079b36898d39eeb1824977c6c2f6d51e.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,71,[71],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
087a14d8896e47bc6e7e441fd60b6ff4.py,hardcoded_sql_expressions,B608,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,34,[34],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
08a31f02fd1282d12b75.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",10,[10],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
08a31f02fd1282d12b75.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",19,[19],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
08a31f02fd1282d12b75.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",20,[20],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
08f51440d2cecc95d371.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,2,"[2, 3]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
08f51440d2cecc95d371.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,7,[7],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
0908a861618548f33c64b75eb3e890dc.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',29,[29],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
092633087d56b8782bb003282e9a8950.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'your aws secret access-key',16,[16],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
092633087d56b8782bb003282e9a8950.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",21,[21],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
092633087d56b8782bb003282e9a8950.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,21,[21],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
092633087d56b8782bb003282e9a8950.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,22,[22],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
092633087d56b8782bb003282e9a8950.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",26,[26],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
096f3b651b268b7af4c8c32475fa23d1.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",26,[26],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
096f3b651b268b7af4c8c32475fa23d1.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,26,[26],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
096f3b651b268b7af4c8c32475fa23d1.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",29,[29],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
096f3b651b268b7af4c8c32475fa23d1.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,29,[29],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
098f399d69f230521ef530baca832e76.py,blacklist,B405,LOW,HIGH,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",15,[15],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree
098f399d69f230521ef530baca832e76.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,32,[32],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
098f399d69f230521ef530baca832e76.py,blacklist,B314,MEDIUM,HIGH,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,33,[33],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b313-b320-xml-bad-elementtree
09acba2e528ec6b285dc52bde07754af.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,12,[12],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
09acba2e528ec6b285dc52bde07754af.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,25,[25],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
09acba2e528ec6b285dc52bde07754af.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,25,[25],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
09acba2e528ec6b285dc52bde07754af.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,29,[29],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
09acba2e528ec6b285dc52bde07754af.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,39,[39],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
09acba2e528ec6b285dc52bde07754af.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,39,[39],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
09c421e3ff13e1245316.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",47,[47],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
09cae53bf67ea8a39700.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,36,[36],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
09db0c9f74754d32d3c2538d4d6a3b0d.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",28,[28],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
09f5ab44486b1fc6df7bf20ce57159f1.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",39,[39],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
09f5ab44486b1fc6df7bf20ce57159f1.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",50,[50],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
09f5ab44486b1fc6df7bf20ce57159f1.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",61,[61],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
0a0d5a2e84dd3178d348.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,23,[23],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
0a0d5a2e84dd3178d348.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,[25],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
0a2ac74d800a2eff9540.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,35,[35],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
0a3d4fae965bdbec1f9d.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,15,"[15, 16]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
0a3d4fae965bdbec1f9d.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,40,[40],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
0a509faf231cff3cdec7.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'ITSASECRET',55,[55],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
0a509faf231cff3cdec7.py,flask_debug_true,B201,HIGH,MEDIUM,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",56,[56],https://bandit.readthedocs.io/en/latest/plugins/b201_flask_debug_true.html
0aadefb73e71794fb4a2802708db5bcf.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",48,[48],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
0aadefb73e71794fb4a2802708db5bcf.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,48,[48],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
